Date,AAPL,APX,BA,CAT,CSCO,CVX,DIS,GS,HD,IBM
17-07-2014,-0.0178,-0.0157,-0.0121,-0.0209,-0.0135,-0.0062,-0.0037,-0.0019,-0.0014,0.0007
18-07-2014,0.0144,0.0058,0.0140,0.0101,0.0109,0.0024,0.0092,0.0078,0.0067,0.0001
21-07-2014,-0.0052,-0.0069,0.0052,0.0005,-0.0023,0.0069,-0.0008,0.0015,-0.0046,-0.0086
22-07-2014,0.0083,0.0053,0.0112,-0.0015,0.0039,0.0098,0.0055,0.0192,0.0104,0.0170
23-07-2014,0.0261,-0.0010,-0.0234,-0.0153,-0.0104,0.0098,-0.0020,0.0103,0.0060,-0.0024
24-07-2014,-0.0016,-0.0014,-0.0182,-0.0308,0.0058,0.0072,0.0088,-0.0032,0.0022,0.0083
25-07-2014,0.0066,-0.0131,-0.0096,-0.0018,0.0054,-0.0095,-0.0066,-0.0049,-0.0021,-0.0043
28-07-2014,0.0138,-0.0008,-0.0011,-0.0067,-0.0019,-0.0025,0.0107,0.0031,0.0005,0.0071
29-07-2014,-0.0065,-0.0016,-0.0060,0.0052,-0.0081,-0.0062,-0.0109,-0.0023,-0.0011,-0.0062
30-07-2014,-0.0023,-0.0087,-0.0002,-0.0125,-0.0031,0.0008,0.0117,0.0013,0.0096,-0.0029
31-07-2014,-0.0260,-0.0320,-0.0148,-0.0254,-0.0156,-0.0248,-0.0153,-0.0164,-0.0111,-0.0120
01-08-2014,0.0055,-0.0174,-0.0008,-0.0023,-0.0091,-0.0104,-0.0058,-0.0152,-0.0136,-0.0131
04-08-2014,-0.0056,0.0053,-0.0037,0.0128,0.0066,0.0021,0.0218,0.0085,0.0035,0.0026
05-08-2014,-0.0049,-0.0066,0.0112,-0.0030,-0.0077,-0.0250,-0.0056,-0.0132,0.0000,-0.0134
06-08-2014,-0.0017,0.0005,-0.0242,-0.0001,-0.0016,0.0062,-0.0018,0.0019,0.0061,-0.0060
07-08-2014,-0.0051,-0.0044,0.0127,0.0044,-0.0028,-0.0006,-0.0125,-0.0038,-0.0006,-0.0090
08-08-2014,0.0028,0.0169,0.0066,0.0131,0.0068,0.0176,0.0157,0.0187,0.0244,0.0126
11-08-2014,0.0132,-0.0059,0.0014,0.0118,0.0080,-0.0012,0.0075,0.0012,0.0055,0.0045
12-08-2014,-0.0002,0.0015,-0.0027,-0.0016,-0.0032,-0.0049,-0.0033,-0.0008,0.0005,-0.0007
13-08-2014,0.0132,0.0037,0.0125,0.0080,0.0020,0.0040,0.0045,0.0002,0.0024,0.0033
14-08-2014,0.0027,-0.0015,0.0175,0.0048,-0.0262,-0.0050,0.0115,0.0021,0.0089,-0.0004
15-08-2014,0.0049,-0.0077,-0.0077,0.0008,-0.0045,-0.0068,0.0076,-0.0048,-0.0020,-0.0027
18-08-2014,0.0120,0.0065,0.0148,0.0117,0.0082,0.0016,0.0077,0.0154,-0.0012,0.0106
19-08-2014,0.0138,0.0110,0.0048,0.0030,0.0004,0.0105,0.0013,-0.0034,0.0555,0.0037
20-08-2014,0.0004,0.0042,0.0141,0.0037,0.0028,-0.0011,-0.0028,0.0004,0.0286,0.0002
21-08-2014,0.0001,0.0073,0.0012,0.0025,0.0073,0.0035,0.0060,0.0064,0.0044,0.0059
22-08-2014,0.0074,-0.0029,-0.0003,-0.0061,-0.0096,-0.0064,0.0012,0.0018,-0.0013,-0.0043
25-08-2014,0.0022,0.0080,0.0068,0.0062,0.0020,0.0057,-0.0012,0.0137,0.0019,0.0039
26-08-2014,-0.0064,-0.0049,0.0021,0.0008,0.0045,0.0032,-0.0040,0.0002,0.0047,0.0096
27-08-2014,0.0123,0.0010,-0.0031,0.0045,-0.0004,0.0030,0.0039,-0.0005,0.0026,-0.0038
28-08-2014,0.0012,-0.0025,-0.0085,0.0009,0.0020,0.0009,-0.0015,-0.0009,0.0070,-0.0013
29-08-2014,0.0024,0.0060,-0.0024,0.0039,0.0056,0.0054,-0.0039,0.0082,0.0107,0.0016
02-09-2014,0.0078,0.0019,-0.0104,-0.0014,-0.0044,-0.0148,0.0102,0.0037,-0.0251,-0.0038
03-09-2014,-0.0422,0.0047,0.0037,-0.0042,0.0064,0.0025,0.0015,-0.0009,-0.0236,0.0020
